Region Model Years wetdays_avg wetdays_pc
northwest SRCNNvQT7L4R1 20 14.825337 0.970060
southcentral SRCNNvQT7L4R1 20 13.022586 0.951458
southeast SRCNNvQT7L4R1 20 25.713963 0.918238
southwest SRCNNvQT7L4R1 20 5.620965 0.976890
CONUS SRCNNvQT7L4R1 15 18.023020 0.988043
midwest SRCNNvQT7L4R1 15 23.533646 0.965564
northcentral SRCNNvQT7L4R1 15 14.509970 0.969677
northeast SRCNNvQT7L4R1 15 26.861172 0.935887
northwest SRCNNvQT7L4R1 15 18.465397 0.972470
southcentral SRCNNvQT7L4R1 15 14.097045 0.961532
southeast SRCNNvQT7L4R1 15 26.928549 0.917667
southwest SRCNNvQT7L4R1 15 8.088546 0.981116
CONUS SRCNNvQT7L4R1 10 11.525670 0.987056
midwest SRCNNvQT7L4R1 10 17.982065 0.968605
northcentral SRCNNvQT7L4R1 10 4.887902 0.972311
northeast SRCNNvQT7L4R1 10 21.640335 0.938255
northwest SRCNNvQT7L4R1 10 11.171314 0.974678
southcentral SRCNNvQT7L4R1 10 8.331747 0.949696
southeast SRCNNvQT7L4R1 10 22.407192 0.930673
southwest SRCNNvQT7L4R1 10 2.705549 0.981703
CONUS SRCNNvQT7L4R1 5 15.964720 0.987368
midwest SRCNNvQT7L4R1 5 23.302568 0.963570
northcentral SRCNNvQT7L4R1 5 10.331898 0.970324
northeast SRCNNvQT7L4R1 5 26.135393 0.947084
northwest SRCNNvQT7L4R1 5 15.895914 0.975783
southcentral SRCNNvQT7L4R1 5 12.158005 0.947453
southeast SRCNNvQT7L4R1 5 25.951361 0.896378
southwest SRCNNvQT7L4R1 5 5.771187 0.982227
CONUS SRCNNvQT7L4R1 2 10.051760 0.983550
midwest SRCNNvQT7L4R1 2 16.949261 0.964611
northcentral SRCNNvQT7L4R1 2 2.046550 0.955968
northeast SRCNNvQT7L4R1 2 20.658138 0.938026
northwest SRCNNvQT7L4R1 2 9.618787 0.956769
southcentral SRCNNvQT7L4R1 2 7.161120 0.938017
southeast SRCNNvQT7L4R1 2 21.624094 0.907126
southwest SRCNNvQT7L4R1 2 1.727200 0.960953
