Region Model Years 25mmdays_avg 25mmdays_pc
northcentral SRCNNvQT7L4R1 20 -0.718957 0.942300
northeast SRCNNvQT7L4R1 20 0.080805 0.809026
northwest SRCNNvQT7L4R1 20 0.275211 0.983837
southcentral SRCNNvQT7L4R1 20 -0.916318 0.981659
southeast SRCNNvQT7L4R1 20 -0.391073 0.878101
southwest SRCNNvQT7L4R1 20 0.041041 0.984936
CONUS SRCNNvQT7L4R1 15 -0.806790 0.970790
midwest SRCNNvQT7L4R1 15 -1.365503 0.924258
northcentral SRCNNvQT7L4R1 15 -0.992821 0.939189
northeast SRCNNvQT7L4R1 15 -0.715684 0.813556
northwest SRCNNvQT7L4R1 15 0.051874 0.978070
southcentral SRCNNvQT7L4R1 15 -1.148980 0.980543
southeast SRCNNvQT7L4R1 15 -0.875000 0.871812
southwest SRCNNvQT7L4R1 15 -0.098260 0.984617
CONUS SRCNNvQT7L4R1 10 -1.268225 0.977324
midwest SRCNNvQT7L4R1 10 -2.000320 0.921326
northcentral SRCNNvQT7L4R1 10 -1.163166 0.935203
northeast SRCNNvQT7L4R1 10 -1.572315 0.812921
northwest SRCNNvQT7L4R1 10 -0.716849 0.975136
southcentral SRCNNvQT7L4R1 10 -1.351440 0.980373
southeast SRCNNvQT7L4R1 10 -1.621842 0.874636
southwest SRCNNvQT7L4R1 10 -0.408978 0.984453
CONUS SRCNNvQT7L4R1 5 -0.532431 0.975856
midwest SRCNNvQT7L4R1 5 -1.180798 0.927544
northcentral SRCNNvQT7L4R1 5 -0.833462 0.940571
northeast SRCNNvQT7L4R1 5 -0.233047 0.846460
northwest SRCNNvQT7L4R1 5 0.088964 0.975024
southcentral SRCNNvQT7L4R1 5 -0.778873 0.979944
southeast SRCNNvQT7L4R1 5 -0.127033 0.882646
southwest SRCNNvQT7L4R1 5 -0.025079 0.985484
CONUS SRCNNvQT7L4R1 2 -0.279117 0.970418
midwest SRCNNvQT7L4R1 2 -0.619664 0.927752
northcentral SRCNNvQT7L4R1 2 -0.644471 0.938595
northeast SRCNNvQT7L4R1 2 0.271914 0.836093
northwest SRCNNvQT7L4R1 2 0.114701 0.970978
southcentral SRCNNvQT7L4R1 2 -0.685029 0.982675
southeast SRCNNvQT7L4R1 2 0.118949 0.876259
southwest SRCNNvQT7L4R1 2 0.135708 0.977033
